plot_ID,year,LON,LAT,ECOSUBCD,ELEV,species_richness,SLOPE,STDAGE,EcM_percentage,Rs,Le,pre,tem,clay,bulk,totaln,ph,Rs_log,Le_log,EcM_percentage_square,STDAGE_square,species_richness_log,EcM_percentage_centered,EcM_percentage_sq_centered,Mycorrhizal.type
ridcirxizzrhz,2001,-119.194469,38.701304,341,7040,1,30,177,100,38.08208442,28.12744998,97,13.75,107.5885544,136.3713074,141.2793579,71.19441986,5.251040542,4.81390686,10000,31329,0,41.72521566,1740.993622,EcM
ridcirxizxjhd,2001,-119.06393,38.56339,341,6970,1,43,148,100,55.06021004,43.74530284,92,13.01666657,102.7299652,133.1987,159.3396454,71.55197906,5.782938208,5.451056211,10000,21904,0,41.72521566,1740.993622,EcM
ridcirizsczz,2001,-118.048288,39.880968,341,6150,1,18,0,100,249.048226,9.470742347,105,15.83333317,168.6853485,130.9096069,179.7615662,74.77584076,7.960281324,3.243477513,10000,0,0,41.72521566,1740.993622,EcM
ridcirizshdf,2001,-117.582498,39.525007,341,6990,1,52,82,100,19.41783473,108.0575992,130,14.89999994,170.7363586,121.2482452,309.851593,73.23648834,4.27931043,6.755656723,10000,6724,0,41.72521566,1740.993622,EcM
ridcirizrcjs,2001,-117.759037,39.29906,341,7630,1,65,0,100,2.517656512,44.41763894,130,13.26666689,161.2212982,124.3293152,192.7736511,73.00164032,1.332081467,5.473060802,10000,0,0,41.72521566,1740.993622,EcM
ridcirizrcjh,2001,-117.962552,39.504662,341,7340,1,55,94,100,4124.991266,23.05251727,126,13.7833333,186.3239594,126.5454178,324.4671936,73.26655579,12.01017535,4.526852392,10000,8836,0,41.72521566,1740.993622,EcM
ridcirizrggx,2001,-118.21932,39.660001,341,5690,1,38,88,100,7.341564042,10.00093199,90,16.11666679,161.2845612,134.9783783,270.7148743,76.14459229,2.876087447,3.322062547,10000,7744,0,41.72521566,1740.993622,EcM
ridcirizccgx,2001,-117.971826,39.588924,341,6140,1,52,43,100,28.35448393,37.95583239,112,15.06666676,180.6825867,131.1540985,250.14711,74.39472961,4.825504993,5.246249686,10000,1849,0,41.72521566,1740.993622,EcM
ridcirizchcg,2001,-117.758006,39.252433,341,7190,1,32,96,100,55.32375008,58.95420531,124,13.41666667,168.6077423,127.430954,355.7894287,72.34441376,5.789827047,5.881522822,10000,9216,0,41.72521566,1740.993622,EcM
ridcirizcxjh,2001,-117.815863,39.61529,341,7380,1,67,0,100,5.837395859,11.73772599,133,14.1833334,186.1608887,127.6007614,252.8259277,72,2.545324907,3.55308103,10000,0,0,41.72521566,1740.993622,EcM
ridcirizdscj,2001,-117.760853,39.660646,341,6730,1,70,0,100,565.615215,63.23345248,128,14.46666654,162.3032837,126.6285553,270.6923523,73.07826233,9.143677119,5.982616086,10000,0,0,41.72521566,1740.993622,EcM
ridcirizddzf,2001,-117.524735,39.975237,341,6170,1,30,57,100,11.90408805,9.425459073,125,16.04999987,193.9351501,124.894928,327.074585,70.4648056,3.573385198,3.236562887,10000,3249,0,41.72521566,1740.993622,EcM
ridcirizdxgg,2001,-117.588333,39.790763,341,6340,1,55,72,100,8.285813375,10.09085576,124,15.5666666,153.8411255,133.2983093,176.8594818,73.99111938,3.050643326,3.334976623,10000,5184,0,41.72521566,1740.993622,EcM
ridcirizhczh,2001,-117.732494,39.224412,341,7810,1,58,221,100,58.45211318,540.202407,132,12.99999976,153.7992859,121.3361588,445.696228,72.31829834,5.869183277,9.077356258,10000,48841,0,41.72521566,1740.993622,EcM
ridcirizhjdg,2001,-117.926396,39.6135,341,6350,1,23,0,100,5.728631569,23.12564445,119,14.66666698,174.8739471,130.4730835,136.6712646,74,2.518190555,4.531421665,10000,0,0,41.72521566,1740.993622,EcM
ridcirizzjgg,2001,-117.926913,39.478977,341,7110,1,40,104,100,132.2665029,15.68969662,121,13.40000025,158.3108215,129.4086761,332.3131104,73.96383667,7.047303929,3.971745551,10000,10816,0,41.72521566,1740.993622,EcM
ridcirizxrjs,2001,-117.75622,39.705438,341,7400,1,40,11,100,37.09668784,16.81847172,137,13.73333327,171.5690308,122.0504379,423.0809937,71.90267944,5.213218477,4.07197471,10000,121,0,41.72521566,1740.993622,EcM
ridcirizxzgg,2001,-117.874852,39.614288,341,7300,1,69,0,100,7.96797153,28.70831024,140,13.34999998,180.8055115,127.5293121,255.1702728,72.33449554,2.994212493,4.843396511,10000,0,0,41.72521566,1740.993622,EcM
ridcirixrgcg,2001,-117.844885,39.596744,341,8070,1,58,73,100,617.0910891,16.18778245,143,12.75,177.8446198,120.0274048,368.7772217,71.4814682,9.269339652,4.016833461,10000,5329,0,41.72521566,1740.993622,EcM
ridcirixrgzh,2001,-117.543155,39.7683,341,5870,1,12,0,100,276.920403,27.10621826,120,16.01666689,182.5682373,133.4083862,183.1235962,72.50198364,8.113327543,4.760551943,10000,0,0,41.72521566,1740.993622,EcM
ridcicrizsxrx,2001,-118.630799,38.417991,341,6800,1,55,317,100,29.36253055,60.34049761,81,15.51666657,87.01857758,140.1296844,112.8901901,76.42593384,4.875904404,5.915054689,10000,100489,0,41.72521566,1740.993622,EcM
ridcicrizsxgz,2001,-118.311861,38.299937,341,7570,1,31,60,100,12.90798579,118.9244124,98,14.13333321,133.5519714,138.1545258,240.9185638,74.76345825,3.69019199,6.893901086,10000,3600,0,41.72521566,1740.993622,EcM
ridcicrizccss,2001,-118.830152,38.246675,341,7500,1,52,132,100,24.08494166,42.5839599,92,12.48333327,179.8385925,127.8023987,288.4523315,70.87017059,4.590059524,5.412238208,10000,17424,0,41.72521566,1740.993622,EcM
ridcicrizcjsr,2001,-118.89516,38.475411,341,6820,1,12,126,100,339.8627196,978.2191011,87,13.91666667,100.5296249,141.4057922,103.7092209,75.20265198,8.408808307,9.934013825,10000,15876,0,41.72521566,1740.993622,EcM
