"plot_ID","year","LON","LAT","ECOSUBCD","ELEV","species_richness","SLOPE","STDAGE","EcM_percentage","Rs","Le","pre","tem","clay","bulk","totaln","ph","Rs_log","Le_log","EcM_percentage_square","STDAGE_square","species_richness_log","EcM_percentage_centered","EcM_percentage_sq_centered","Mycorrhizal.type"
"sssrxissssfisssdgicsssf",2011,-95.683835,42.735634,"251",1330,2,4,54,0,90.1831322558571,32.4946276246725,531,18.0666667620341,361.278686523438,144.770370483398,311.76123046875,62.3516693115234,6.49478571366204,5.02212931026157,0,2916,1,-56.8248729492608,3229.06618569964,"AM"
"sssrxissssfisssdgicsssf",2012,-95.683795240679,42.735634,"251",1330,2,4,54,0,32.4946276246725,34.6185337294651,531,18.0666667620341,361.278686523438,144.770370483398,311.76123046875,62.3516693115234,5.02212931026157,5.11347271543168,0,2916,1,-56.8248729492608,3229.06618569964,"AM"
"sssrxissssfissshxicsrrf",2012,-93.499338,42.619442,"251",1130,4,3,53,0,35.9326786559394,36.8597163464878,594,17.8833332061768,347.273345947266,140.486129760742,485.601531982422,64.9580001831055,5.16722458212264,5.20397306365604,0,2809,2,-56.8248729492608,3229.06618569964,"AM"
"sssrxissssfissrfxicssfx",2012,-96.508173,42.626827,"251",1120,3,15,24,0,6.21731805312909,93.4610471838335,468,18.5833333333333,355.398254394531,143.137466430664,294.195037841797,69.3040237426758,2.63629238327222,6.54629329684997,0,576,1.58496250072116,-56.8248729492608,3229.06618569964,"AM"
"sssrxissssfissrfxicsccr",2012,-96.428623,42.694475,"251",1440,2,0,70,0,5.63797073460597,25.3182121414276,468,18.149999777476,371.100677490234,131.972351074219,317.701934814453,68.5378494262695,2.49517598923355,4.66210362659814,0,4900,1,-56.8248729492608,3229.06618569964,"AM"
"sssrxissssfissrfxicsccr",2020,-96.4285975138153,42.694475,"251",1440,2,0,70,0,240.965079365055,16.830155210643,468,18.149999777476,371.100677490234,131.972351074219,317.701934814453,68.5378494262695,7.91268027615858,4.07297657640326,0,4900,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissssgicsczc",2002,-95.255723,39.639878,"251",870,4,23,34,0,64.4883183917399,34.7569823199976,653,20.9333333969116,390.473022460938,139.952377319336,251.796310424805,63.1503372192383,6.0109659449641,5.11923092442278,0,1156,2,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissssgicsczc",2012,-95.2557130096296,39.639878,"251",870,4,23,39,0,24.2368226255198,33.2840016825574,653,20.9333333969116,390.473022460938,139.952377319336,251.796310424805,63.1503372192383,4.59912867311796,5.05675699172319,0,1521,2,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrisssfgicschh",2002,-95.263467,38.895407,"251",870,2,0,25,0,5.61387777720056,21.1335610633774,663,21.3666663169861,310.8193359375,140.278228759766,354.608215332031,63.3760147094727,2.4889976544906,4.40146398074075,0,625,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrisssfgicschh",2012,-95.2635606206007,38.895407,"251",870,2,0,25,0,5.02535428725557,30.909460155222,663,21.3666663169861,310.8193359375,140.278228759766,354.608215332031,63.3760147094727,2.32922530981375,4.94997655211859,0,625,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrisssgxicsdcj",2012,-95.381728,38.53294,"251",1070,8,4,40,0,8.21117667138052,60.631787411781,649,21.2833334604899,406.450012207031,139.477478027344,391.755065917969,63,3.03758897673233,5.92200244828613,0,1600,3,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissszjicsczs",2012,-95.212197,39.388113,"251",1110,5,6,72,0,6.00817010876903,82.3939984411525,679,20.8333336512248,305.039306640625,138.560791015625,326.157348632812,63.4350547790527,2.58692566032277,6.36446735056627,0,5184,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissszjicsdsz",2012,-95.587282,39.116648,"251",970,5,8,75,0,10.9072140540285,126.614813796894,636,21.1166667938232,373.341918945312,137.048187255859,365.842346191406,64.7395553588867,3.44721074708057,6.9843023981826,0,5625,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissszjicsdcf",2012,-95.420651,39.253748,"251",980,5,9,45,0,14.2593163069194,68.3033999135893,668,20.9833334287008,393.230194091797,137.562835693359,304.035095214844,63.8184928894043,3.83383290526222,6.0938854876984,0,2025,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrsdicsczc",2002,-95.052777,39.399454,"251",1010,2,15,40,0,12.7485849869434,10.3664270239391,676,20.8166669209798,353.61962890625,140.231246948242,327.232299804688,61.4822883605957,3.6722652207473,3.37384682384323,0,1600,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrsdicsczc",2012,-95.0528664145456,39.399454,"251",1010,2,15,40,0,8.85465442794407,115.305838628471,676,20.8166669209798,353.61962890625,140.231246948242,327.232299804688,61.4822883605957,3.14643600377902,6.84932175694545,0,1600,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrsdicsczf",2002,-95.079277,39.364908,"251",1070,5,12,28,0,10.1494469541855,29.5774269928966,679,20.8666667938232,353.273162841797,139.021118164062,414.679229736328,62.861499786377,3.34332921163852,4.88642464948648,0,784,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrsdicsczf",2012,-95.0793119607619,39.364908,"251",1070,5,12,33,0,9.94675542531961,47.5928371856734,679,20.8666667938232,353.273162841797,139.021118164062,414.679229736328,62.861499786377,3.31422600352917,5.57267255635558,0,1089,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrsdicsdcg",2002,-94.95803,39.047983,"251",880,8,5,31.5,0,109.844023323614,19.081539630286,674,21.266666730245,339.087738037109,142.9892578125,356.146881103516,64.16064453125,6.77931256380576,4.25410567751823,0,992.25,3,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrsdicsdcg",2012,-94.9580698338143,39.047983,"251",880,8,5,31.5,0,13.8313142437593,13.88483508384,674,21.266666730245,339.087738037109,142.9892578125,356.146881103516,64.16064453125,3.78986634196653,3.79543813663619,0,992.25,3,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrcricsdff",2012,-94.959405,38.550605,"251",900,1,5,4,0,11.3503295915455,105.983078162771,663,21.4166663487752,379.622161865234,141.791442871094,378.983825683594,63.7976264953613,3.50466228607618,6.72769012437914,0,16,0,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrdxicsdgx",2012,-95.590002,38.863552,"251",970,4,9,60,0,13.5086000783641,116.804604853763,634,21.216667175293,406.524475097656,140.636978149414,325.496032714844,63.3339500427246,3.75580626809658,6.86795334129345,0,3600,2,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrfxicsfhs",2012,-96.087978,39.225367,"251",1040,5,1.5,16.25,0,8.92000439646081,32.0804420088047,633,21.0666667620341,409.94677734375,139.958190917969,316.274597167969,63.1213226318359,3.15704442121628,5.00362211447064,0,264.0625,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
